gamecube_button_a: U+E000
gamecube_button_a_outline: U+E001
gamecube_button_b: U+E002
gamecube_button_b_outline: U+E003
gamecube_button_color_a: U+E004
gamecube_button_color_a_outline: U+E005
gamecube_button_color_b: U+E006
gamecube_button_color_b_outline: U+E007
gamecube_button_start: U+E008
gamecube_button_start_outline: U+E009
gamecube_button_x: U+E00A
gamecube_button_x_outline: U+E00B
gamecube_button_x_tilted: U+E00C
gamecube_button_x_tilted_outline: U+E00D
gamecube_button_y: U+E00E
gamecube_button_y_outline: U+E00F
gamecube_button_y_tilted: U+E010
gamecube_button_y_tilted_outline: U+E011
gamecube_button_z: U+E012
gamecube_button_z_outline: U+E013
gamecube_controller: U+E014
gamecube_controller_wavebird: U+E015
gamecube_dpad: U+E016
gamecube_dpad_all: U+E017
gamecube_dpad_down: U+E018
gamecube_dpad_down_outline: U+E019
gamecube_dpad_horizontal: U+E01A
gamecube_dpad_horizontal_outline: U+E01B
gamecube_dpad_left: U+E01C
gamecube_dpad_left_outline: U+E01D
gamecube_dpad_none: U+E01E
gamecube_dpad_right: U+E01F
gamecube_dpad_right_outline: U+E020
gamecube_dpad_up: U+E021
gamecube_dpad_up_outline: U+E022
gamecube_dpad_vertical: U+E023
gamecube_dpad_vertical_outline: U+E024
gamecube_stick: U+E025
gamecube_stick_c: U+E026
gamecube_stick_c_color_down: U+E027
gamecube_stick_c_color_horizontal: U+E028
gamecube_stick_c_color_left: U+E029
gamecube_stick_c_color_right: U+E02A
gamecube_stick_c_color_top: U+E02B
gamecube_stick_c_color_up: U+E02C
gamecube_stick_c_color_vertical: U+E02D
gamecube_stick_c_down: U+E02E
gamecube_stick_c_horizontal: U+E02F
gamecube_stick_c_left: U+E030
gamecube_stick_c_right: U+E031
gamecube_stick_c_top: U+E032
gamecube_stick_c_up: U+E033
gamecube_stick_c_vertical: U+E034
gamecube_stick_color_c: U+E035
gamecube_stick_down: U+E036
gamecube_stick_grip: U+E037
gamecube_stick_grip_down: U+E038
gamecube_stick_grip_horizontal: U+E039
gamecube_stick_grip_left: U+E03A
gamecube_stick_grip_right: U+E03B
gamecube_stick_grip_top: U+E03C
gamecube_stick_grip_up: U+E03D
gamecube_stick_grip_vertical: U+E03E
gamecube_stick_horizontal: U+E03F
gamecube_stick_left: U+E040
gamecube_stick_right: U+E041
gamecube_stick_top: U+E042
gamecube_stick_up: U+E043
gamecube_stick_vertical: U+E044
gamecube_trigger_l: U+E045
gamecube_trigger_l_outline: U+E046
gamecube_trigger_r: U+E047
gamecube_trigger_r_outline: U+E048
